review_id,rating,review,aspects,overall_sentiment,escalate,severity,escalate_reason,review_quality,draft_response
20,2,"not worth money stayed christmas new year, booked internet chose hotel purely tripadvisor reviews, wish n't, got 4 day break paid choice thought getting top-end luxury hotel, big big mistake, room min","{""cleanliness"": ""negative"", ""noise"": ""negative"", ""safety_security"": ""negative""}",negative,True,medium,Balcony door lock did not work -- guest room security issue,usable_as_is,Thank you for flagging the balcony door lock -- guest room security is a top priority and this has been sent to our maintenance team for immediate repair and a broader lock-inspection across the property.
21,2,"better hotel interesting staff polite hotel understaffed, breakfast yukky, rooms suites nice size decor marginal-i.e, wall paper coming walls bathtub stained shade pulls dirty stained bedspead cruddy/","{""cleanliness"": ""negative"", ""staff"": ""neutral"", ""location"": ""negative"", ""health"": ""negative""}",negative,True,high,"Dead mouse outside door, overflowing uncollected trash -- pest/sanitation hazard",usable_as_is,"We are sorry to hear about the pest and sanitation issues you describe. This has been escalated to our housekeeping and pest-control vendor for urgent inspection and remediation, and we appreciate you bringing this to our attention."
22,2,"worst vacation barcelo punta cana friends travelling, stayed rooms, night got hotel air conditioner not working rooms, wet woke day requested change rooms, 2:00 afternoon, new room air conditioner not","{""amenities"": ""negative"", ""food"": ""negative""}",negative,False,low,,usable_as_is,
23,3,"sheraton pulitzer 4* not 5 just stay amsterdam week end, 5th visit amsterdam frist stay pulitzer, thanks got special price endless week end wich make price room 215 euros night, deluxe room normal rat","{""value"": ""positive"", ""staff"": ""positive"", ""room"": ""neutral""}",neutral,False,none,,usable_as_is,
24,3,"ok not great, stayed weekend beginning september.check-in fine nice friendly receptionist promised great room nice good size nicely decorated good bathroom.it late hungry tried georgetown restaurant h","{""staff"": ""negative"", ""noise"": ""negative"", ""food"": ""negative"", ""location"": ""positive""}",neutral,False,low,,usable_as_is,
25,3,"stayed copley recently conference, quite average, rooms small hotel dated, food provided hotel average somewhat disappointing, pay price stay,  ","{""room"": ""negative"", ""food"": ""negative"", ""value"": ""negative""}",negative,False,low,,usable_as_is,
26,3,"nice resort lacks continuity services stay march 19 26 flew punta cana hamilton ontario, beats pearson heck..great customs personnel efficient too..5 stars*****via westjet new plane great service staf","{""food"": ""neutral"", ""safety_security"": ""negative"", ""staff"": ""neutral"", ""value"": ""neutral""}",neutral,True,medium,"Room safe malfunctioned (guest did not feel secure, bought own locks); pests (spiders/mosquitos) in room",usable_with_edits,"Thank you for the detailed feedback. We are addressing the in-room safe malfunction and pest sighting with our maintenance and pest-control teams as a priority, and are reviewing our late-night guest services process."
27,4,"great budget hotel, travelodge hotel phillip street really conveniently located right central business district 5-10 min walking distance sydney harbor major shopping areas hyde park george street nig","{""location"": ""positive"", ""staff"": ""positive"", ""cleanliness"": ""positive"", ""value"": ""positive""}",positive,False,none,,usable_as_is,
28,4,"overall great vacation wife 4 y.o, daughter great vacation overall stayed riu taino 14 nights 28-june 11 2005. weather fine rains night morning till 11am got special all-inclusive riu deal kids stay f","{""food"": ""positive"", ""amenities"": ""negative"", ""value"": ""positive""}",positive,False,low,,usable_as_is,
29,4,"relaxing mom spent week december secrets, staff attentive, food average, lobster day lunch, arrived queen bed room not available, share king bed night, concierge certain moved room queen beds morning,","{""staff"": ""positive"", ""room"": ""negative"", ""location"": ""positive""}",positive,False,low,,usable_as_is,
30,4,"touring toronto stayed friends day weekend visit toronto, hotel clean modern expected marriott, hotel great location visited downtown toronto sites foot distillery district great continue improve, did","{""cleanliness"": ""positive"", ""location"": ""positive"", ""food"": ""neutral""}",positive,False,none,,usable_as_is,
31,5,"excellent choice perfect place too-short three-day stay paris, room lovely adequate size adults, actually rooms, charming ambience pleasant helpful staff clean great location metro reasonable priced, ","{""location"": ""positive"", ""staff"": ""positive"", ""room"": ""positive"", ""value"": ""positive""}",positive,False,none,,usable_as_is,
32,5,"beautiful hotel n't know happened poor couple stayed time husband did great experience, desk bell staff extremely helpful friendly looking concerts town acquiring sold-out seahawks tickets, did separa","{""staff"": ""positive"", ""room"": ""positive"", ""location"": ""positive"", ""value"": ""negative""}",positive,False,none,,usable_as_is,
33,5,"finest hotel experience fiance decided celebrate engagement george v paris not chosen better place, check-in check-out amazing experience strangely leaves little hollow realise rest world n't perfect ","{""staff"": ""positive"", ""food"": ""positive"", ""room"": ""positive""}",positive,False,none,,usable_as_is,
34,5,great location wo n't regret booking hotel want know silver just visit homepage hotelsilver no pictures desrciptions not true.the hotel just hop away metrostation fontana therfore relevant sights barc,"{""room"": ""positive"", ""location"": ""positive"", ""value"": ""positive"", ""amenities"": ""negative""}",positive,False,low,,usable_as_is,
